BoroName,CT2010,BoroCT2010,NTACode,NTAName,PUMA,Shape_Leng,Shape_Area,BUFF_DIST
Staten Island,000900,5000900,SI22,West New Brighton-New Brighton-St. George,3903,7729.016729,2497009.699,0
Staten Island,012500,5012500,SI22,West New Brighton-New Brighton-St. George,3903,10582.85553,4954936.238,0
Staten Island,013301,5013301,SI22,West New Brighton-New Brighton-St. George,3903,3428.312676,721784.6622,0
Staten Island,019700,5019700,SI07,Westerleigh,3903,9097.697231,3231720.012,0
Staten Island,006400,5006400,SI14,Grasmere-Arrochar-Ft. Wadsworth,3902,12726.36045,7643183.682,0
Staten Island,007400,5007400,SI14,Grasmere-Arrochar-Ft. Wadsworth,3902,9902.948472,5788237.871,0
Manhattan,003200,1003200,MN22,East Village,3809,6358.386684,2334190.232,0
Manhattan,006800,1006800,MN21,Gramercy,3808,5723.883037,1877943.253,0
Manhattan,008900,1008900,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,3807,5578.769499,1782278.507,0
Manhattan,009600,1009600,MN17,Midtown-Midtown South,3807,5737.356247,1887288.401,0
Manhattan,009800,1009800,MN19,Turtle Bay-East Midtown,3808,5534.199811,1906016.35,0
Manhattan,010000,1010000,MN19,Turtle Bay-East Midtown,3808,5692.168488,1860938.378,0
Manhattan,010200,1010200,MN17,Midtown-Midtown South,3807,5687.802579,1860992.536,0
Manhattan,010400,1010400,MN17,Midtown-Midtown South,3807,5693.036118,1864600.351,0
Manhattan,011201,1011201,MN17,Midtown-Midtown South,3807,3716.146785,856164.3561,0
Manhattan,011202,1011202,MN17,Midtown-Midtown South,3807,3688.762328,839525.7815,0
Manhattan,011203,1011203,MN19,Turtle Bay-East Midtown,3808,3701.173031,854082.5154,0
Manhattan,011300,1011300,MN17,Midtown-Midtown South,3807,5699.860641,1890907.331,0
Manhattan,011402,1011402,MN40,Upper East Side-Carnegie Hill,3805,4125.2561,1063547.405,0
Manhattan,013000,1013000,MN40,Upper East Side-Carnegie Hill,3805,5807.972956,1918144.54,0
Manhattan,014000,1014000,MN40,Upper East Side-Carnegie Hill,3805,5820.81564,1925984.223,0
Manhattan,014601,1014601,MN32,Yorkville,3805,4016.133393,799879.9085,0
Manhattan,014602,1014602,MN32,Yorkville,3805,4528.695483,1175338.612,0
Manhattan,014801,1014801,MN40,Upper East Side-Carnegie Hill,3805,3135.951423,559216.1578,0
Manhattan,014802,1014802,MN40,Upper East Side-Carnegie Hill,3805,4691.029341,1351364.99,0
Manhattan,015300,1015300,MN14,Lincoln Square,3806,5674.292342,1872392.705,0
Manhattan,015400,1015400,MN32,Yorkville,3805,5536.958004,1909222.234,0
Manhattan,015601,1015601,MN32,Yorkville,3805,4004.82447,791912.5084,0
Manhattan,015602,1015602,MN33,East Harlem South,3804,4524.706934,1169934.511,0
Manhattan,016001,1016001,MN40,Upper East Side-Carnegie Hill,3805,4698.507096,1351864.835,0
Manhattan,018400,1018400,MN34,East Harlem North,3804,5771.874347,1903568.321,0
Manhattan,019000,1019000,MN11,Central Harlem South,3803,4231.827159,1117371.728,0
Manhattan,020101,1020101,MN09,Morningside Heights,3802,3329.881695,593526.6576,0
Manhattan,020102,1020102,MN11,Central Harlem South,3803,3745.871035,897067.8827,0
