CB2010,BoroCode,BoroName,CT2010,BCTCB2010,DollarVanLine,Origin?,Destination?,Both,Origin,Destinations
1000,5,Staten Island,000900,50009001000,#N/A,0,0,0,#N/A,#N/A
1000,5,Staten Island,002001,50020011000,#N/A,0,0,0,#N/A,#N/A
1000,5,Staten Island,002700,50027001000,#N/A,0,0,0,#N/A,#N/A
1000,5,Staten Island,004000,50040001000,#N/A,0,0,0,#N/A,#N/A
1000,5,Staten Island,006400,50064001000,#N/A,0,0,0,#N/A,#N/A
1000,5,Staten Island,007400,50074001000,#N/A,0,0,0,#N/A,#N/A
1000,5,Staten Island,007500,50075001000,#N/A,0,0,0,#N/A,#N/A
1000,5,Staten Island,007700,50077001000,#N/A,0,0,0,#N/A,#N/A
1000,5,Staten Island,011201,50112011000,#N/A,0,0,0,#N/A,#N/A
1000,5,Staten Island,011202,50112021000,#N/A,0,0,0,#N/A,#N/A
1000,5,Staten Island,011401,50114011000,#N/A,0,0,0,#N/A,#N/A
1000,5,Staten Island,011402,50114021000,#N/A,0,0,0,#N/A,#N/A
1000,5,Staten Island,012100,50121001000,#N/A,0,0,0,#N/A,#N/A
1000,5,Staten Island,012200,50122001000,#N/A,0,0,0,#N/A,#N/A
1000,5,Staten Island,012500,50125001000,#N/A,0,0,0,#N/A,#N/A
1000,5,Staten Island,013201,50132011000,#N/A,0,0,0,#N/A,#N/A
1000,5,Staten Island,013400,50134001000,#N/A,0,0,0,#N/A,#N/A
1000,5,Staten Island,013800,50138001000,#N/A,0,0,0,#N/A,#N/A
1000,5,Staten Island,014605,50146051000,#N/A,0,0,0,#N/A,#N/A
1000,5,Staten Island,014607,50146071000,#N/A,0,0,0,#N/A,#N/A
1000,5,Staten Island,014608,50146081000,#N/A,0,0,0,#N/A,#N/A
1000,5,Staten Island,015603,50156031000,#N/A,0,0,0,#N/A,#N/A
1000,5,Staten Island,016901,50169011000,#N/A,0,0,0,#N/A,#N/A
1000,5,Staten Island,017005,50170051000,#N/A,0,0,0,#N/A,#N/A
1000,5,Staten Island,017008,50170081000,#N/A,0,0,0,#N/A,#N/A
1000,5,Staten Island,017009,50170091000,#N/A,0,0,0,#N/A,#N/A
1000,5,Staten Island,017011,50170111000,#N/A,0,0,0,#N/A,#N/A
1000,5,Staten Island,017300,50173001000,#N/A,0,0,0,#N/A,#N/A
1000,5,Staten Island,018701,50187011000,#N/A,0,0,0,#N/A,#N/A
1000,5,Staten Island,018901,50189011000,#N/A,0,0,0,#N/A,#N/A
1000,5,Staten Island,019700,50197001000,#N/A,0,0,0,#N/A,#N/A
1000,5,Staten Island,020700,50207001000,#N/A,0,0,0,#N/A,#N/A
1000,5,Staten Island,020801,50208011000,#N/A,0,0,0,#N/A,#N/A
1000,5,Staten Island,021300,50213001000,#N/A,0,0,0,#N/A,#N/A
1000,5,Staten Island,022600,50226001000,#N/A,0,0,0,#N/A,#N/A
1000,5,Staten Island,024401,50244011000,#N/A,0,0,0,#N/A,#N/A
1000,5,Staten Island,027302,50273021000,#N/A,0,0,0,#N/A,#N/A
1000,5,Staten Island,027702,50277021000,#N/A,0,0,0,#N/A,#N/A
1000,5,Staten Island,027705,50277051000,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,000600,50006001001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,000900,50009001001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,001100,50011001001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,002001,50020011001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,002100,50021001001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,002700,50027001001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,003600,50036001001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,004000,50040001001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,006400,50064001001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,007400,50074001001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,007500,50075001001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,009601,50096011001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,011201,50112011001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,011202,50112021001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,011401,50114011001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,011402,50114021001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,012200,50122001001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,012500,50125001001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,012804,50128041001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,012805,50128051001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,012806,50128061001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,013203,50132031001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,013302,50133021001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,013400,50134001001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,013800,50138001001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,014100,50141001001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,014605,50146051001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,014608,50146081001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,015100,50151001001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,015602,50156021001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,015603,50156031001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,016901,50169011001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,017005,50170051001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,017007,50170071001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,017008,50170081001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,017009,50170091001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,017011,50170111001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,017012,50170121001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,017600,50176001001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,017700,50177001001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,018100,50181001001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,018901,50189011001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,019700,50197001001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,021300,50213001001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,022300,50223001001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,023900,50239001001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,024401,50244011001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,024402,50244021001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,027302,50273021001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,027704,50277041001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,027900,50279001001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,030301,50303011001,#N/A,0,0,0,#N/A,#N/A
1001,5,Staten Island,031901,50319011001,#N/A,0,0,0,#N/A,#N/A
1002,5,Staten Island,000600,50006001002,#N/A,0,0,0,#N/A,#N/A
1002,5,Staten Island,000900,50009001002,#N/A,0,0,0,#N/A,#N/A
1002,5,Staten Island,001100,50011001002,#N/A,0,0,0,#N/A,#N/A
1002,5,Staten Island,002001,50020011002,#N/A,0,0,0,#N/A,#N/A
1002,5,Staten Island,002700,50027001002,#N/A,0,0,0,#N/A,#N/A
1002,5,Staten Island,003600,50036001002,#N/A,0,0,0,#N/A,#N/A
1002,5,Staten Island,004000,50040001002,#N/A,0,0,0,#N/A,#N/A
1002,5,Staten Island,005900,50059001002,#N/A,0,0,0,#N/A,#N/A
1002,5,Staten Island,006400,50064001002,#N/A,0,0,0,#N/A,#N/A
1002,5,Staten Island,007400,50074001002,#N/A,0,0,0,#N/A,#N/A
1002,5,Staten Island,007500,50075001002,#N/A,0,0,0,#N/A,#N/A
1002,5,Staten Island,007700,50077001002,#N/A,0,0,0,#N/A,#N/A
1002,5,Staten Island,009602,50096021002,#N/A,0,0,0,#N/A,#N/A
1002,5,Staten Island,011201,50112011002,#N/A,0,0,0,#N/A,#N/A
1002,5,Staten Island,011202,50112021002,#N/A,0,0,0,#N/A,#N/A
