h_county_tract,average_commute_time,average_walk_distance,number_of_commuters
005000100,2730.46107784,873.967835168,167
005000200,1685.34059406,338.166470065,1010
005000400,1435.83665008,323.957150019,1206
005001600,1095.81845919,268.938008332,1311
005001900,1531.75,517.355704099,344
005002000,1132.53919373,251.408755491,1786
005002300,973.759753593,301.070595265,974
005002400,3858.02272727,1290.71086218,88
005002500,1122.81938911,342.651056515,753
005002701,1348.56281407,361.891196911,597
005002702,1044.20431472,263.863904707,788
005002800,1034.00628366,239.331643889,1114
005003100,1360.11046512,410.485684122,344
005003300,1187.78472222,429.443489054,720
005003500,1285.94293866,398.740871332,701
005003700,2412.78195489,873.645649835,133
005003800,2374.77906977,602.323170701,344
005003900,877.761857708,321.97079827,1012
005004001,2015.21082621,652.878565835,351
005004100,1019.19294606,360.538532562,964
005004200,1070.454,224.445325553,1500
005004300,1003.66326531,335.283049971,1176
005004400,1434.66371681,451.431192526,904
005004600,1903.61993769,377.358800716,321
005004800,1294.54493581,351.165605096,701
005005001,1473.3739255,470.621235031,698
005005002,1185.21927711,267.602456273,830
005005100,823.572566372,278.173842311,1130
005005200,2084.04785894,679.75320863,397
005005300,1517.26186292,483.819803426,569
005005400,1174.16825397,272.837310307,945
005005600,1601.62308998,532.896251068,589
005005902,1294.11676083,486.832609105,531
005006000,1860.59701493,507.562706114,335
005006100,0.727272727273,1.0,22
005006200,1021.53327717,309.14734269,1187
005006300,929.74841629,343.356640961,1105
005006400,1304.41502463,372.061191006,812
005006500,873.790466733,278.566501325,1007
005006700,849.726521412,288.024036514,1331
005006800,1476.86311239,421.280547874,694
005006900,900.023255814,343.134921058,1290
005007000,1289.86987952,336.71276794,830
005007100,1390.99603175,462.755600562,504
005007200,1211.72473532,297.138253727,1039
005007300,1122.76534296,314.603820136,831
005007400,1463.24836601,421.174624364,765
005007500,935.189562548,303.253622922,1303
005007600,1275.86904762,306.559269325,924
005007700,1485.913371,444.377292354,531
005007800,1069.91769231,356.489504048,1300
005007900,934.806837607,283.756861165,1170
005008300,855.098098859,262.731808438,1315
005008400,1812.60332103,406.246455122,542
005008500,1091.25867195,341.95622671,1009
005008600,1426.85545024,328.426410959,844
005008700,863.171261487,246.622201085,1197
005008900,1060.38512616,306.177278025,753
005009000,1444.28825623,477.337514863,843
005009200,1029.48484848,234.957875939,1188
005009300,869.529457364,234.868179046,1290
005009600,1611.08614232,486.66989099,534
005009800,1034.33277592,287.175630786,1196
005011000,3553.08130081,1475.22583263,123
005011502,1107.46260069,382.417256546,869
005011700,1374.32478632,486.953539601,468
005011800,1304.1672326,236.600216512,1178
005011900,847.12578125,238.006636671,1280
005012101,1438.88195616,407.843134614,593
005012102,1388.25108225,364.857504214,462
005012300,1095.47921225,304.827477377,914
005012500,1214.0964467,333.523370605,788
005012701,1164.94755245,327.417671525,572
005012901,1254.48686244,335.500799967,647
005013000,2235.93247588,422.906138722,311
005013100,1231.07775378,395.804863507,926
005013200,1482.75671277,334.600842276,1229
005013300,972.41500399,291.947679493,1253
005013500,1317.00502513,466.401984082,796
005013800,1268.2920354,234.383962605,904
005014100,897.299543379,245.358101177,1095
005014300,1811.71980676,655.283211796,207
005014400,1365.20620285,349.608988163,1193
005014500,991.330992979,323.053945912,997
005014701,1108.92069632,346.651060637,1034
005014702,1138.625132,410.140539851,947
005014900,1087.23245614,309.749022894,912
005015100,1051.2700088,316.515534554,1137
005015200,2072.29253112,490.749698124,482
005015300,1268.43150685,359.454159902,730
005015500,1341.5982906,333.70937656,702
005015700,1275.5035461,440.829826809,846
005015800,2558.34083601,616.811460772,311
005015900,1250.63136456,357.758729874,491
005016000,1361.047105,277.939741387,1019
005016100,1269.3028891,298.068287087,1073
005016200,1816.2262931,444.650531127,464
005016300,3505.35294118,1347.24840792,51
005016400,1729.08583691,382.464950561,466
005016500,1685.58282209,704.055553067,326
005016600,1866.49458484,474.480256764,554
005016700,1626.97945205,602.576300877,584
005016900,2113.43553009,669.34431389,349
005017100,3041.75,1022.43818945,76
005017300,1037.97170838,376.834859293,919
005017500,928.478884462,281.047792972,1255
005017701,1452.75268817,555.531465505,651
005017702,1223.47534766,392.855271056,791
005017901,1072.65267576,350.693516263,953
005017902,1273.09090909,385.138100686,649
005018101,1495.4437401,527.925273594,631
005018102,982.613124388,332.751753248,1021
005018301,1263.19663648,404.536997508,773
005018302,1124.27249022,418.197570055,767
005018400,1437.87241379,351.757982325,870
005018500,832.440491591,241.237391818,1546
005018900,800.505681818,273.554227934,1408
005019300,1115.02443793,392.343819239,1023
005019400,1965.45643939,541.950899164,528
005019500,757.582039163,247.42449856,1481
005019700,816.023430962,202.5104443,1195
005019900,874.951871658,286.884422926,1496
005020000,1172.46161515,303.112687583,1003
005020100,1509.31529093,611.612909618,739
005020200,1135.40707965,315.645425523,565
005020400,1600.3863275,510.46808365,629
005020501,1082.41445183,390.239849722,1204
005020502,1481.00232019,511.569157282,431
005020601,1567.67319277,423.193953991,664
005020900,1171.08255814,333.572495287,860
005021001,933.448295783,282.72765595,1731
005021002,962.591957811,322.971900242,1517
005021100,1244.40653728,365.464651707,979
005021200,1070.76244131,299.402009459,1065
005021301,1920.06270627,596.454611005,303
005021302,1241.41823899,448.502101053,954
005021501,1394.6653944,444.873822503,786
005021502,1058.58939709,333.772205429,962
005021601,1243.82508631,402.075696816,869
005021602,993.278703704,301.905697507,1080
005021700,1299.51778656,348.622032075,759
005021800,1179.63390663,327.4189761,1221
005021900,1918.65254237,539.707291479,236
005022000,2431.55598456,640.813982203,259
005022101,1289.63372859,367.301886306,759
005022102,1232.79452055,362.176753283,803
005022200,1257.08578745,320.155876685,781
005022300,969.480829016,253.009544383,965
005022401,1413.3430127,346.230491614,551
005022403,1465.0495356,426.285888066,646
005022404,1179.68491736,317.561685678,968
005022500,982.721518987,300.820686529,1264
005022701,1000.03928906,277.264297044,1069
005022702,1735.45915493,508.550908311,355
005022703,1002.92992424,338.535173002,528
005022800,1176.56449045,366.493428348,1256
005022901,1118.69371429,397.690651668,875
005022902,1134.16234652,448.848626695,733
005023000,1701.5373913,487.371041789,575
005023100,1662.22543353,621.999788733,346
005023200,1452.27089337,425.192775952,694
005023301,1149.16163793,346.110915023,928
005023302,1286.73636364,463.508759778,770
005023501,1294.80271084,387.384946903,664
005023502,1182.45753425,376.88856154,730
005023600,2066.41353383,491.846930501,399
005023702,1579.18900344,411.460026974,291
005023703,1251.67548907,382.111703867,869
005023704,1380.60813008,363.965985181,615
005023800,1706.5442404,479.712874099,599
005023900,987.774524158,263.596519892,1366
005024000,1466.47637292,479.274291196,783
005024100,975.032399299,266.880859282,1142
005024300,992.774416595,302.020557462,1157
005024400,1753.81044487,481.725738033,517
005024501,1313.09424084,473.181772564,764
005024502,1211.52207792,441.040102684,770
005024600,1603.70510397,500.717059451,529
005024700,1603.57142857,602.528440592,399
005024800,1236.63179348,309.830423422,736
005024900,3174.76363636,1377.64534135,110
005025000,1565.05564142,443.31157152,647
005025100,1025.47782427,348.679993675,1195
005025200,1341.93648449,345.499178085,677
005025300,893.821060966,271.972051774,1263
005025400,1527.17398946,423.966914583,569
005025500,1090.94885362,379.992656322,1134
