VanName,OBJECTID_1,OBJECTID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,OBJECTID_2,OBJECTID_3,OID_,Name_1,FolderPath,SymbolID,AltMode,Base,Clamped,Extruded,Snippet,PopupInfo,Shape_Leng,BUFF_DIST,ORIG_FID,Shape_Le_1,MaxName,Shape_Le_2,Shape_Area
Beach 90,4501,22,36,81,97204,36081097204,972.04,Census Tract 972.04,G5020,S,391825,0,40.593907,-73.7811283,1,1,0,Beach 90,Dollar Vans/Untitled layer,0,0,0,-1,0,,,0.072694722,0.5,0,0.201724762,Beach 90,0.036980229,4.16839E-05
Beach 90,4502,35,36,81,103201,36081103201,1032.01,Census Tract 1032.01,G5020,S,409191,24134,40.6089555,-73.7554305,1,1,0,Beach 90,Dollar Vans/Untitled layer,0,0,0,-1,0,,,0.072694722,0.5,0,0.201724762,Beach 90,0.036263409,4.61086E-05
Beach 90,4503,3258,36,81,99801,36081099801,998.01,Census Tract 998.01,G5020,S,458753,0,40.5980924,-73.7575813,1,1,0,Beach 90,Dollar Vans/Untitled layer,0,0,0,-1,0,,,0.072694722,0.5,0,0.201724762,Beach 90,0.03091395,4.88067E-05
Q83 Murdock,4504,14,36,81,24000,36081024000,240,Census Tract 240,G5020,S,269687,0,40.7032769,-73.8050731,2,2,0,Q83 Murdock,Dollar Vans/Untitled layer,1,0,0,-1,0,,,0.077812674,0.5,1,0.409938814,Q83 Murdock,0.027094781,2.87365E-05
Q83 Murdock,4505,27,36,81,25800,36081025800,258,Census Tract 258,G5020,S,212176,0,40.696044,-73.787275,2,2,0,Q83 Murdock,Dollar Vans/Untitled layer,1,0,0,-1,0,,,0.077812674,0.5,1,0.409938814,Q83 Murdock,0.020153365,2.26061E-05
Q83 Murdock,4506,28,36,81,26000,36081026000,260,Census Tract 260,G5020,S,178375,0,40.6927524,-73.7933078,2,2,0,Q83 Murdock,Dollar Vans/Untitled layer,1,0,0,-1,0,,,0.077812674,0.5,1,0.409938814,Q83 Murdock,0.025534443,1.90038E-05
Q83 Murdock,4507,29,36,81,26200,36081026200,262,Census Tract 262,G5020,S,143393,0,40.6910079,-73.7920924,2,2,0,Q83 Murdock,Dollar Vans/Untitled layer,1,0,0,-1,0,,,0.077812674,0.5,1,0.409938814,Q83 Murdock,0.020766549,1.52765E-05
Q83 Murdock,4508,32,36,81,26600,36081026600,266,Census Tract 266,G5020,S,172997,0,40.6918812,-73.7816949,2,2,0,Q83 Murdock,Dollar Vans/Untitled layer,1,0,0,-1,0,,,0.077812674,0.5,1,0.409938814,Q83 Murdock,0.020155341,1.84305E-05
Q83 Murdock,4509,40,36,81,27000,36081027000,270,Census Tract 270,G5020,S,185253,0,40.6886842,-73.7913933,2,2,0,Q83 Murdock,Dollar Vans/Untitled layer,1,0,0,-1,0,,,0.077812674,0.5,1,0.409938814,Q83 Murdock,0.021150719,1.97354E-05
Q83 Murdock,4510,44,36,81,27400,36081027400,274,Census Tract 274,G5020,S,143721,0,40.684905,-73.788989,2,2,0,Q83 Murdock,Dollar Vans/Untitled layer,1,0,0,-1,0,,,0.077812674,0.5,1,0.409938814,Q83 Murdock,0.018468531,1.53102E-05
