,lat,lon,tract
0,40.6956771126,-74.0423381631,"(u'1', u'000100')"
1,40.7118665406,-73.9858469024,"(u'1', u'000201')"
2,40.7121397301,-73.9813247571,"(u'1', u'000202')"
3,40.688949892,-74.0169532138,"(u'1', u'000500')"
4,40.7119514336,-73.9894762011,"(u'1', u'000600')"
5,40.705370603,-74.0075127937,"(u'1', u'000700')"
6,40.7117681004,-73.9945189556,"(u'1', u'000800')"
7,40.7022608613,-74.0098232411,"(u'1', u'000900')"
8,40.7143472887,-73.977576019,"(u'1', u'001001')"
9,40.7173126059,-73.9769284136,"(u'1', u'001002')"
10,40.7159067491,-73.9820931356,"(u'1', u'001200')"
11,40.7091349435,-74.0130232709,"(u'1', u'001300')"
12,40.7151604903,-73.9873322075,"(u'1', u'001401')"
13,40.7175132984,-73.9858816313,"(u'1', u'001402')"
14,40.7090337156,-74.0036139176,"(u'1', u'001501')"
15,40.7070370375,-74.0049529035,"(u'1', u'001502')"
16,40.7159566204,-73.9932673307,"(u'1', u'001600')"
17,40.7190461102,-73.9908418108,"(u'1', u'001800')"
18,40.7204274949,-73.9756790657,"(u'1', u'002000')"
19,40.7143539927,-74.0101205757,"(u'1', u'002100')"
20,40.7191156653,-73.98184416,"(u'1', u'002201')"
21,40.7212596978,-73.981141184,"(u'1', u'002202')"
22,40.7239628115,-73.973688099,"(u'1', u'002400')"
23,40.7100874423,-73.9986178728,"(u'1', u'002500')"
24,40.7225850488,-73.9799303262,"(u'1', u'002601')"
25,40.7243903464,-73.9786156747,"(u'1', u'002602')"
26,40.7125508662,-73.9990119052,"(u'1', u'002700')"
27,40.7268608351,-73.9768130671,"(u'1', u'002800')"
28,40.714114962,-74.0006138893,"(u'1', u'002900')"
29,40.7210143914,-73.9868511902,"(u'1', u'003001')"
30,40.7229601508,-73.9858559343,"(u'1', u'003002')"
31,40.7152831169,-74.0038625917,"(u'1', u'003100')"
32,40.7255534233,-73.9837085486,"(u'1', u'003200')"
33,40.7188621363,-74.0061463377,"(u'1', u'003300')"
34,40.7290063986,-73.9814575421,"(u'1', u'003400')"
35,40.7223197006,-73.9911562588,"(u'1', u'003601')"
36,40.724560375,-73.9902004617,"(u'1', u'003602')"
37,40.7262911991,-74.0074703824,"(u'1', u'003700')"
38,40.7273582641,-73.988456822,"(u'1', u'003800')"
39,40.7207903649,-74.0106051917,"(u'1', u'003900')"
40,40.7307375473,-73.9860181721,"(u'1', u'004000')"
41,40.719163685,-73.9966957383,"(u'1', u'004100')"
42,40.7317637464,-73.989386223,"(u'1', u'004200')"
43,40.7233244006,-73.9954672063,"(u'1', u'004300')"
44,40.7309481426,-73.9765816042,"(u'1', u'004400')"
45,40.7205703309,-73.999390822,"(u'1', u'004500')"
46,40.7224186758,-74.0028627307,"(u'1', u'004700')"
47,40.733840896,-73.9836950521,"(u'1', u'004800')"
48,40.7250504908,-74.000460353,"(u'1', u'004900')"
